name,location_str,latitude,longitude,price,rating,cuisine,recommender,date,neighborhood
Bad Seed Brooklyn,585 Franklin Ave,40.678478999999996,-73.95505899999999,$$,4.5,Cideries,Serena Dai,2018-03-16,Crown Heights
Café Cluny,284 West 12th St,40.737384999999996,-74.003966,$$,4.0,Breakfast & Brunch,Robert Sietsema,2018-03-16,West Village
Lahori Chilli,1026 Coney Island Ave,40.632529999999996,-73.96705,$,3.5,Indian,Robert Sietsema,2018-03-16,Kensington
Soco,509 Myrtle Ave,40.693866,-73.964535,$$,4.0,Cajun/Creole,Robert Sietsema,2018-03-09,Clinton Hill
Plaka,406 86th St,40.622398376464794,-74.0282821655273,$$,3.5,Greek,Robert Sietsema,2018-03-09,Fort Hamilton
Abraço,81 East 7th St,40.72739,-73.98613,$$,4.0,Coffee & Tea,Stefanie Tuder,2018-03-09,East Village
Wasan,440 Bergen St,40.6812605,-73.97684179999999,$$,4.0,Japanese,Serena Dai,2018-03-02,Park Slope
Op La,136 Dekalb Ave,40.6895850648299,-73.97555854840999,$$,3.0,Vietnamese,Robert Sietsema,2018-03-02,Fort Greene
Kafana,116 Ave C,40.72432,-73.97851,$$,4.0,Modern European,Robert Sietsema,2018-02-23,East Village
Super Power,722 Nostrand Ave,40.6739268745309,-73.95032747150259,$$,4.5,Cocktail Bars,Kayla Kumari Upadhyaya,2018-02-23,Crown Heights
Garden Grill,318 Graham Ave,40.713508000000004,-73.943893,$,3.0,Coffee & Tea,Stefanie Tuder,2018-02-23,Williamsburg
Russ & Daughters Cafe,127 Orchard St,40.7196253171697,-73.9895758930263,$$,4.0,Bagels,Stefanie Tuder,2018-02-16,Lower East Side
Bemelmans Bar,35 East 76th St,40.774190000000004,-73.96284,$$$$,4.0,French,Daniela Galarza,2018-02-08,Upper East Side
Larb Ubol,480 9th Ave,40.755058,-73.994759,$$,4.0,Thai,Robert Sietsema,2018-02-08,Clinton
The Pool Lounge,99 East 52nd St,40.7586374,-73.9732412,$$$$,4.0,Seafood,Stefanie Tuder,2018-02-08,Midtown
The Quarter,522 Hudson St,40.7339331507683,-74.0062008798122,$$,3.5,Mediterranean,Robert Sietsema,2018-02-02,West Village
Cent’Anni,742 Franklin Ave,40.6730907423467,-73.9573492245369,$$,4.0,Italian,Kayla Kumari Upadhyaya,2018-02-02,Crown Heights
Roberto’s,603 Crescent Ave,40.85372,-73.88834,$$$,4.0,Italian,Robert Sietsema,2018-02-02,Belmont
Ikinari,90 East 10th St,40.73088,-73.98968,$$,4.0,Steakhouses,Serena Dai,2018-02-02,Greenwich Village
